"question_date","num_questions_with_en_response"
"2020-10-07","7489"
"2020-10-08","9934"
"2020-10-09","7613"
"2020-10-10","6897"
"2020-10-11","7600"
"2020-10-12","8014"
"2020-10-13","5381"
"2020-10-14","5622"
"2020-10-15","4839"
"2020-10-16","5467"
"2020-10-17","5578"
"2020-10-18","6169"
"2020-10-19","6497"
"2020-10-20","5543"
"2020-10-21","4878"
"2020-10-22","6438"
"2020-10-23","6866"
"2020-10-24","7883"
"2020-10-25","11248"
"2020-10-26","11392"
"2020-10-27","12424"
"2020-10-28","10139"
"2020-10-29","12397"
"2020-10-30","10845"
"2020-10-31","7480"
"2020-11-01","8274"
"2020-11-02","7885"
"2020-11-03","7384"
"2020-11-04","8089"
"2020-11-05","9261"
"2020-11-06","11820"
"2020-11-07","7719"
"2020-11-08","7328"
"2020-11-09","7856"
"2020-11-10","9699"
"2020-11-11","10380"
"2020-11-12","8021"
"2020-11-13","8019"
"2020-11-14","7238"
"2020-11-15","6561"
"2020-11-16","5341"
"2020-11-17","7733"
"2020-11-18","9374"
"2020-11-19","7654"
"2020-11-20","6784"
"2020-11-21","6176"
"2020-11-22","5914"
"2020-11-23","5723"
"2020-11-24","8078"
"2020-11-25","7160"
"2020-11-26","11823"
"2020-11-27","9925"
"2020-11-28","8096"
"2020-11-29","6221"
"2020-11-30","3371"
"2020-12-01","5877"
"2020-12-02","5767"
"2020-12-03","6622"
"2020-12-04","6566"
"2020-12-05","4277"
"2020-12-06","4728"
"2020-12-07","4204"
"2020-12-08","5679"
"2020-12-09","4865"
"2020-12-10","5958"
"2020-12-11","5027"
"2020-12-12","3798"
"2020-12-13","4198"
"2020-12-14","4166"
"2020-12-15","4086"
"2020-12-16","6478"
"2020-12-17","6421"
"2020-12-18","6849"
"2020-12-19","4263"
"2020-12-20","3961"
"2020-12-21","3564"
"2020-12-22","4301"
"2020-12-23","3391"
"2020-12-24","3882"
"2020-12-25","2320"
"2020-12-26","3057"
"2020-12-27","4033"
"2020-12-28","3560"
"2020-12-29","4806"
"2020-12-30","2774"
"2020-12-31","2222"
"2021-01-01","2075"
"2021-01-02","3065"
"2021-01-03","3883"
"2021-01-04","3681"
"2021-01-05","4367"
"2021-01-06","3990"
"2021-01-07","4720"
"2021-01-08","2884"
"2021-01-09","2664"
"2021-01-10","2473"
"2021-01-11","2228"
"2021-01-12","2343"
"2021-01-13","2398"
"2021-01-14","3305"
"2021-01-15","2837"
"2021-01-16","2317"
"2021-01-17","2300"
"2021-01-18","1869"
"2021-01-19","4663"
"2021-01-20","5350"
